Title	author	type	season	episode	rating	release_date	Best anime
Blue Lock	MUNEYUKI KANESHIRO	"sport, Thriller"	1	24	7.5	9/22/2022	yes
Capitain Tsubasa	YOICHI TAKAHASHI	Sports	1	52	8.2	8/27/2020	yes
City Hunter	TSUKASA HOJO	"action, Detective Comedy"	1	51	8.1	8/31/2005	yes
Death Note	TAKESHI OBATA	"mystery, Psychological Thriller, Supernatural Thriller"	1	37	9.0	10/21/2007	yes
Jujutsu No Kaisen	GEGE AKUTAMI	"adventure, Dark Fantasy, Supernatural"	1	24	8.5	10/3/2020	yes
Code Geass	ICHIRO OKOUCHI	"science-fiction, Mecha, Fantasy, Drama"	2	50	8.7	11/30/2007	yes
Demon_slayer	KOYOHARU GOTOUGE	"adventure, Dark Fantasy,martial Arts"	2	26	8.7	2/3/2023	yes
Soul Eater	ATSUSHI OHKUBO	"action, Dark Comedy, Dark Fantasy"	2	51	7.8	9/6/2010	no
Dragon Ball Z	AKIRA TORIYAMA	"adventure, Martial Arts, Comedy, Humor"	9	291	8.8	4/26/1989	yes
Fairy Tail	HIRO MASHIMA	Magic	9	328	7.9	6/12/2009	yes
Bleach	"MASASHI SOGO, TSUYOSHI KIDA, KENTO SHIMOYAMA"	"adventure, Supernatural"	16	366	8.2	9/9/2006	yes
Lookism	PARK TAE-JOON	high school	1	8	8.0	12/8/2022	yes
